uf|ano|mes|chuva|dengue
MG|2018|10|8640.0|84.0
MG|2018|11|16094.6|111.0
MG|2018|12|15762.2|69.0
RJ|2018|1|5921.4|1761.0
RJ|2018|2|4348.4|2079.0
RJ|2018|3|4477.6|3571.0
RJ|2018|4|2187.6|4382.0
RJ|2018|5|1471.2|1850.0
RJ|2018|6|1083.0|1006.0
RJ|2018|7|797.4|864.0
RJ|2018|8|1909.0|435.0
RJ|2018|9|1909.2|397.0
RJ|2018|10|3095.2|352.0
RJ|2018|11|5465.4|507.0
RJ|2018|12|3036.2|905.0
CE|2018|1|759.6|962.0
CE|2018|2|1983.0|1339.0
CE|2018|3|1542.0|1717.0
CE|2018|4|2000.2|3192.0
CE|2018|5|811.0|1265.0
CE|2018|6|174.6|932.0
CE|2018|7|363.2|1019.0
CE|2018|8|132.4|708.0
CE|2018|9|24.0|635.0
CE|2018|10|86.0|393.0
CE|2018|11|317.8|345.0
CE|2018|12|1381.6|334.0
PR|2018|1|6024.2|2747.0
PR|2018|2|2724.2|2084.0
PR|2018|3|4377.0|1844.0
PR|2018|4|592.4|2446.0
PR|2018|5|1129.2|1098.0
PR|2018|6|2088.6|754.0
PR|2018|7|219.6|984.0
PR|2018|8|2152.8|564.0
PR|2018|9|3238.2|1051.0
PR|2018|10|5534.8|1099.0
PR|2018|11|2432.2|1444.0
PR|2018|12|1968.4|2955.0
SP|2018|1|9322.2|407.0
SP|2018|2|5156.4|372.0
SP|2018|3|6245.2|481.0
SP|2018|4|1605.8|671.0
SP|2018|5|1054.6|562.0
SP|2018|6|930.6|311.0
SP|2018|7|480.0|273.0
SP|2018|8|2383.2|251.0
SP|2018|9|3353.4|251.0
SP|2018|10|6952.6|259.0
SP|2018|11|6890.2|374.0
SP|2018|12|5207.2|1032.0
RS|2018|1|6684.6|0.0
RS|2018|2|3221.2|0.0
RS|2018|3|6457.4|0.0
RS|2018|4|3474.0|0.0
RS|2018|5|4574.0|0.0
RS|2018|6|4917.2|0.0
RS|2018|7|6018.0|0.0
RS|2018|8|5657.0|0.0
RS|2018|9|7434.8|0.0
RS|2018|10|6385.4|0.0
RS|2018|11|7293.4|0.0
RS|2018|12|5207.4|7.0
RJ|2019|1|2660.0|1422.0
RJ|2019|2|6483.6|1652.0
RJ|2019|3|5905.2|4247.0
RJ|2019|4|3465.8|6037.0
RJ|2019|5|3707.6|7207.0
RJ|2019|6|1058.8|3903.0
RJ|2019|7|746.8|1169.0
RJ|2019|8|1793.2|659.0
RJ|2019|9|2692.8|608.0
RJ|2019|10|1960.6|471.0
RJ|2019|11|4604.4|515.0
RJ|2019|12|4509.0|776.0
SP|2019|1|6054.0|6053.0
SP|2019|2|8842.6|15165.0
SP|2019|3|6784.0|25134.0
SP|2019|4|4276.2|17806.0
SP|2019|5|3183.0|10306.0
SP|2019|6|1243.4|3659.0
SP|2019|7|1961.2|699.0
SP|2019|8|985.6|322.0
SP|2019|9|2510.8|741.0
SP|2019|10|2585.4|297.0
SP|2019|11|5480.2|103.0
SP|2019|12|6569.2|142.0
MG|2019|1|4062.8|632.0
MG|2019|2|12571.2|1383.0
MG|2019|3|9871.2|4402.0
MG|2019|4|6280.8|9677.0
MG|2019|5|2789.0|8108.0
MG|2019|6|592.2|2047.0
MG|2019|7|425.8|287.0
MG|2019|8|722.6|88.0
MG|2019|9|2380.2|119.0
MG|2019|10|4301.6|69.0
MG|2019|11|11471.8|3.0
MG|2019|12|12323.6|0.0
CE|2019|1|1209.6|895.0
CE|2019|2|1844.0|1707.0
CE|2019|3|2284.8|4167.0
CE|2019|4|1694.0|5604.0
CE|2019|5|1140.2|5198.0
CE|2019|6|539.6|4981.0
CE|2019|7|345.0|2693.0
CE|2019|8|66.8|2037.0
CE|2019|9|56.6|1635.0
CE|2019|10|64.2|690.0
CE|2019|11|117.8|567.0
CE|2019|12|345.4|537.0
RS|2019|1|10280.2|20.0
RS|2019|2|4571.4|19.0
RS|2019|3|5158.0|113.0
RS|2019|4|5981.2|318.0
RS|2019|5|8658.6|436.0
RS|2019|6|2040.2|252.0
RS|2019|7|5742.0|55.0
RS|2019|8|3544.2|33.0
RS|2019|9|3235.4|26.0
RS|2019|10|11955.6|18.0
RS|2019|11|5579.4|25.0
RS|2019|12|2873.2|40.0
PR|2019|1|4274.6|3027.0
PR|2019|2|4461.6|5836.0
PR|2019|3|3250.0|15295.0
PR|2019|4|2754.6|21912.0
PR|2019|5|4169.6|24737.0
PR|2019|6|1241.0|14245.0
PR|2019|7|816.6|3847.0
PR|2019|8|597.0|2472.0
PR|2019|9|1500.4|3271.0
